,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
0,青葉町,1,1,2,1,2,2,0,1,4,1,2,3,2,2,2,3,4,2,1,2,2,5,10,6,3,6,7,9,7,6,7,6,4,3,6,4,3,5,8,4,5,4,8,1,6,5,8,2,6,6,7,2,6,2,2,4,4,2,8,3,1,3,6,3,7,6,3,4,5,4,2,8,6,5,2,2,4,4,1,3,2,2,3,4,1,2,3,3,1,1,4,1,2,0,1,1,0,0,0,0,3,7,8,11,12,26,35,26,24,24,27,19,21,20,22,23,14,12,10,12
1,赤坂１丁目,1,2,1,1,1,3,1,1,1,1,2,3,3,1,2,2,2,1,3,5,2,4,0,3,3,1,1,0,1,1,2,1,2,3,1,2,2,4,5,1,4,5,1,4,4,3,4,4,4,3,2,4,2,4,6,5,2,3,4,2,4,2,2,6,4,1,4,6,4,3,3,4,5,0,1,1,4,1,2,3,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,6,7,11,13,12,4,9,14,18,18,18,16,18,18,13,11,2,3,4
2,赤坂２丁目,4,4,4,4,3,5,5,7,7,5,4,4,6,4,5,7,8,4,8,7,3,5,6,3,5,8,1,2,3,6,7,7,5,12,4,2,6,12,8,10,11,15,7,4,3,9,8,9,6,6,18,7,8,2,11,7,9,7,5,8,7,4,10,6,4,7,4,9,6,6,9,12,4,6,5,7,4,2,6,5,5,1,3,4,2,2,1,3,1,2,1,1,2,0,1,1,0,0,0,0,0,19,29,23,34,22,20,35,38,40,38,46,36,31,32,36,24,15,9,6
3,赤坂３丁目,3,2,2,2,4,3,7,5,4,5,2,2,7,3,4,4,5,10,1,13,6,7,6,5,6,2,4,4,5,3,4,6,5,2,5,3,7,5,9,6,5,6,2,8,11,7,11,10,8,8,7,3,8,10,7,9,7,13,8,6,6,8,8,4,3,5,6,4,6,2,10,4,3,3,1,2,4,3,3,1,3,2,5,3,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,13,24,18,33,30,18,22,30,32,44,35,43,29,23,21,13,15,4,1
4,あけぼの町,1,2,4,3,5,1,1,3,1,0,2,1,4,0,2,0,1,1,6,3,2,2,1,3,4,8,4,10,12,2,4,9,5,4,9,6,3,5,1,4,6,4,6,2,4,2,7,7,5,9,3,4,3,2,11,4,2,5,8,3,4,4,1,3,5,4,8,6,6,5,2,7,7,4,5,5,7,4,4,7,4,2,3,1,4,1,5,7,3,5,0,1,1,2,2,1,3,1,1,0,0,15,6,9,11,12,36,31,19,22,30,23,22,17,29,25,27,14,21,12
5,旭ケ丘１丁目,6,8,7,2,7,5,5,4,12,3,5,8,7,5,5,6,6,8,6,11,16,14,29,37,36,25,36,37,28,29,39,23,22,26,14,19,23,23,15,16,33,14,18,18,17,11,21,16,19,18,17,18,14,11,6,10,18,10,17,14,9,14,10,8,10,11,3,17,14,12,11,10,12,15,3,4,6,8,15,13,5,9,8,7,12,4,13,11,8,14,6,2,6,0,3,2,1,0,0,0,1,30,29,30,37,132,155,124,96,100,85,66,69,51,57,51,46,41,50,21
6,旭ケ丘２丁目,9,10,5,8,9,11,8,8,7,8,8,6,9,9,8,4,9,5,5,15,15,16,34,38,27,39,34,31,25,16,27,25,18,16,25,21,20,13,28,21,24,12,17,22,20,25,24,23,21,21,14,7,19,17,18,16,14,14,13,16,15,14,14,7,10,5,16,8,18,10,14,5,14,8,9,4,7,7,11,13,11,14,11,6,19,11,15,10,14,7,8,10,4,5,6,3,3,0,1,3,3,41,42,40,38,130,145,111,103,95,114,75,73,60,57,50,42,61,57,46
7,旭ケ丘３丁目,7,8,13,5,8,2,4,4,3,2,3,5,8,1,2,9,3,8,9,8,13,12,13,26,28,35,16,28,19,20,22,14,20,20,16,16,18,20,17,12,15,10,16,17,18,12,17,16,13,9,16,10,13,10,12,17,13,11,10,10,5,14,7,9,11,6,6,4,13,7,10,4,8,13,1,5,7,6,5,7,4,6,5,4,8,8,15,8,8,4,7,3,3,1,5,2,0,2,1,0,1,41,15,19,37,92,118,92,83,76,67,61,61,46,36,36,30,27,43,25
8,旭ケ丘４丁目,6,4,7,8,8,11,9,6,5,11,4,8,9,9,11,8,4,6,11,10,9,20,8,15,27,16,25,20,17,13,15,15,18,12,21,12,18,11,18,8,9,20,23,10,19,12,23,14,13,20,17,10,10,19,14,13,11,11,12,13,12,13,8,8,9,15,11,13,16,7,11,8,14,9,5,8,7,8,11,14,14,7,8,13,17,15,13,4,7,9,10,5,5,4,4,1,1,0,0,2,1,33,42,41,39,79,91,81,67,81,82,70,60,50,62,47,48,59,48,33
9,愛子中央１丁目,3,1,2,2,2,1,1,1,1,3,1,2,2,1,1,0,1,0,2,0,2,0,1,0,3,1,1,1,2,6,0,3,2,2,4,4,2,3,2,1,6,1,2,1,2,1,2,1,2,3,0,0,4,0,2,3,0,2,2,0,0,1,2,2,1,1,3,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,7,7,3,6,11,11,12,12,9,6,7,6,5,3,1,2,3,1
10,愛子中央２丁目,3,4,3,5,5,1,3,1,3,5,1,3,2,5,5,0,2,5,4,4,5,4,7,2,8,2,4,5,5,5,8,5,5,4,6,1,4,7,1,3,4,6,6,7,3,5,8,5,3,3,3,4,8,3,3,5,3,3,7,1,5,5,5,6,4,2,3,8,4,4,8,3,7,7,1,3,6,3,3,2,2,2,2,3,1,4,0,2,3,2,2,1,0,1,3,0,1,0,0,0,0,20,13,16,15,26,21,28,16,26,24,21,19,25,21,26,17,10,11,8
11,愛子中央３丁目,4,2,4,5,5,4,7,11,8,7,5,10,5,5,5,6,5,8,6,6,10,12,0,4,2,3,4,5,8,6,9,2,6,6,11,8,11,7,13,8,10,10,6,7,10,11,11,13,8,14,5,13,12,6,6,10,9,3,7,8,12,6,2,7,7,9,5,10,8,11,16,19,13,12,5,13,4,9,11,8,6,6,5,9,3,6,2,4,4,1,1,1,2,2,2,1,0,0,1,0,0,20,37,30,31,28,26,34,47,43,57,42,37,34,43,65,45,29,17,10
12,愛子中央４丁目,2,3,3,5,7,4,1,5,3,4,6,2,1,4,0,1,1,1,1,2,4,7,0,2,5,3,3,3,3,2,4,2,3,7,9,5,7,1,3,2,7,1,1,2,6,7,5,5,5,1,1,5,3,3,4,2,1,1,3,1,3,2,4,2,4,0,1,4,3,4,4,3,7,1,2,4,6,3,3,5,3,5,2,0,2,2,2,0,1,3,0,1,1,2,0,0,0,0,0,0,0,20,17,13,6,18,14,25,18,17,23,16,8,15,12,17,21,12,8,4
