,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
0,明石南１丁目,0,0,1,2,1,0,1,0,1,0,2,0,2,3,3,2,5,2,5,2,4,7,2,6,4,8,2,3,0,1,1,2,0,1,2,3,1,1,1,2,3,1,2,2,1,4,2,2,7,4,5,4,7,3,12,1,10,7,5,10,9,6,6,4,10,5,2,7,11,8,4,4,3,5,5,1,1,4,3,3,2,2,0,2,0,1,0,1,4,2,0,0,0,1,0,0,0,1,0,0,1,4,2,10,16,23,14,6,8,9,19,31,33,35,33,21,12,6,8,3
1,明石南２丁目,0,0,1,0,1,2,6,2,2,3,9,2,6,7,3,5,4,8,10,3,13,4,9,5,5,8,2,4,2,2,4,2,3,2,0,5,1,0,4,2,1,4,4,4,11,3,9,6,6,8,8,9,11,7,12,12,8,5,7,8,7,8,6,3,8,4,7,6,5,3,1,1,6,8,4,4,1,3,3,2,2,1,1,1,0,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,2,15,27,30,36,18,11,12,24,32,47,40,32,25,20,13,5,4,4
2,明石南３丁目,5,1,4,1,2,4,0,0,5,3,3,3,7,6,4,3,6,3,8,7,6,3,1,3,3,6,3,6,0,5,6,2,3,5,2,6,4,2,2,8,2,7,4,5,3,2,10,6,4,8,4,11,4,4,5,4,6,2,2,3,2,1,4,6,0,2,0,0,1,1,1,1,3,1,1,1,1,1,4,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13,12,23,27,16,20,18,22,21,30,28,17,13,4,7,7,3,2,1
3,明石南４丁目,1,0,1,1,2,3,3,2,3,5,5,8,8,11,4,10,4,15,7,10,7,7,2,3,4,1,0,3,2,1,1,3,2,0,1,0,0,2,2,4,2,2,3,9,8,11,13,10,8,11,13,9,8,18,10,5,8,2,8,0,6,6,7,4,5,1,4,0,0,7,9,2,3,2,0,3,3,0,2,3,3,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,16,36,46,23,7,7,8,24,53,58,23,28,12,16,11,8,2,0
4,明石南５丁目,0,0,2,1,2,1,0,8,6,3,7,8,6,8,10,15,14,17,13,10,12,5,7,4,2,4,2,1,2,1,2,5,2,5,3,0,1,2,2,1,3,7,7,9,9,11,14,11,9,15,17,20,16,9,12,18,16,8,6,4,2,9,1,4,3,7,6,5,4,2,1,0,2,4,1,2,6,1,1,2,0,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,39,69,30,10,17,6,35,60,74,52,19,24,8,12,6,2,0
5,明石南６丁目,1,2,1,1,1,2,4,0,3,2,3,4,2,3,3,4,1,3,4,5,3,2,1,2,1,4,0,3,2,0,1,0,0,0,4,3,1,0,2,4,2,1,4,5,6,1,4,7,4,8,7,2,7,3,1,0,4,2,0,1,1,1,0,0,0,0,2,1,3,0,3,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,17,9,9,5,10,18,24,20,7,2,6,4,4,1,0,0
6,明通４丁目,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,1,3,3,2,2,0,0,3,0,0,0,0,0
7,旭丘堤１丁目,1,7,4,2,3,4,6,3,6,2,3,2,3,3,10,2,8,4,11,4,8,7,9,8,6,8,5,11,12,8,7,5,12,6,7,2,7,5,6,8,10,9,7,7,11,9,9,5,9,6,14,16,7,7,11,5,6,11,6,8,11,4,9,2,3,11,8,7,12,6,4,4,1,4,2,4,4,4,6,1,5,10,6,2,6,6,2,3,3,2,1,5,0,1,1,0,1,0,0,0,0,17,21,21,29,38,44,37,28,44,38,55,36,29,44,15,19,29,16,9
8,旭丘堤２丁目,3,3,2,4,1,3,5,2,4,2,6,1,4,0,4,0,5,4,5,2,3,4,11,6,10,8,12,7,10,6,6,7,6,6,5,7,5,8,5,4,5,5,3,6,4,6,7,8,7,5,9,5,5,2,5,7,6,9,2,6,4,1,4,1,2,3,5,2,4,4,5,6,2,3,4,2,3,0,4,2,2,3,1,9,0,4,3,3,3,2,1,4,0,1,0,0,0,0,0,0,0,13,16,15,16,34,43,30,29,23,33,26,30,12,18,20,11,15,15,6
9,泉ケ丘１丁目,3,0,1,3,0,1,0,3,5,3,2,4,5,1,2,4,3,0,4,4,2,0,2,2,2,1,2,2,4,2,1,1,0,4,5,1,2,6,7,4,3,6,4,1,5,10,3,8,4,4,2,4,5,6,4,2,5,3,4,3,0,2,3,4,3,1,4,5,5,5,5,2,4,9,3,5,5,5,7,2,5,4,3,1,2,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,7,12,14,15,8,11,11,20,19,29,21,17,12,20,23,24,15,5,2
10,泉ケ丘２丁目,3,1,2,2,4,1,3,3,4,5,1,5,5,2,3,3,6,2,6,2,3,4,4,5,3,5,9,5,2,6,4,3,4,4,5,3,9,9,6,6,7,9,5,10,11,8,6,9,4,4,8,9,5,5,5,3,5,2,4,3,6,6,2,4,2,3,3,5,5,2,3,10,5,3,11,8,5,10,4,3,4,2,2,5,5,4,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,12,16,16,19,19,27,20,33,42,31,32,17,20,18,32,30,18,9,4
11,泉ケ丘３丁目,3,4,7,0,3,6,8,3,5,2,2,2,0,0,1,1,1,2,4,4,3,0,5,3,6,4,9,6,6,7,6,15,5,13,9,11,9,7,12,7,3,9,6,6,6,10,5,10,6,6,5,6,6,0,2,2,3,3,2,7,4,2,5,2,7,7,3,5,6,5,5,11,9,1,3,8,5,3,6,4,5,2,2,2,4,2,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,17,24,5,12,17,32,48,46,30,37,19,17,20,26,29,26,15,7,3
12,泉ケ丘４丁目,4,4,3,9,6,5,3,1,5,5,3,3,3,5,2,8,8,3,11,15,13,11,8,6,11,9,4,9,10,12,6,12,11,10,11,8,12,12,6,6,11,10,9,13,14,9,20,14,13,12,11,6,11,8,9,10,4,7,6,7,10,5,6,6,4,3,6,10,7,12,8,9,11,9,7,11,8,9,14,3,9,2,11,7,4,4,4,5,2,4,1,3,1,0,3,1,1,0,0,0,1,26,19,16,45,49,44,50,44,57,68,45,34,31,38,44,45,33,19,11
13,泉ケ丘５丁目,3,4,2,4,5,5,3,5,3,6,7,0,5,2,6,4,4,5,4,5,8,8,8,4,7,10,3,5,8,6,6,7,6,6,8,11,11,10,5,10,7,10,12,9,15,8,7,7,7,9,4,5,6,6,10,4,4,4,4,6,5,12,9,8,11,7,3,10,7,11,13,8,9,10,5,8,12,11,5,6,11,6,8,8,4,6,3,3,2,0,2,2,2,1,0,0,0,2,1,0,0,18,22,20,22,35,32,33,47,53,38,31,22,45,38,45,42,37,14,10
14,泉中央１丁目,13,20,16,18,16,14,17,11,11,11,11,14,6,12,8,12,24,11,20,16,18,20,17,42,36,35,36,34,25,27,28,28,33,23,29,32,27,27,22,27,19,26,26,22,16,35,30,33,30,32,38,27,32,24,18,22,37,22,24,15,16,14,14,6,18,12,14,11,11,5,8,5,10,9,8,8,7,4,7,6,5,1,1,2,2,1,1,0,2,3,1,2,0,0,0,0,1,0,0,0,0,83,64,51,83,133,157,141,135,109,160,139,120,68,53,40,32,11,7,4
15,泉中央２丁目,8,13,6,10,10,7,7,6,3,5,4,3,3,5,4,4,5,5,7,9,7,14,16,19,40,42,24,26,18,19,14,19,12,20,17,16,19,16,12,17,15,11,11,16,14,18,15,11,11,13,10,14,15,5,14,10,12,12,8,9,5,6,7,7,7,3,5,5,5,5,4,5,7,3,3,2,1,5,4,3,3,1,0,5,3,3,0,1,2,1,2,2,1,0,0,0,1,0,0,0,0,47,28,19,30,96,129,82,80,67,68,58,51,32,23,22,15,12,7,6
16,泉中央３丁目,18,20,18,23,15,13,8,17,11,5,11,16,11,6,8,6,10,11,13,13,18,8,14,28,24,31,19,21,39,32,30,38,21,36,26,36,36,28,24,24,26,26,22,28,34,24,30,24,22,22,22,30,22,18,21,18,15,16,15,12,19,9,10,8,7,2,6,8,9,10,8,2,5,5,1,3,1,3,5,4,4,3,2,2,2,2,3,2,2,0,1,1,0,2,0,0,0,0,0,0,0,94,54,52,53,92,142,151,148,136,122,113,76,53,35,21,16,13,9,4
17,泉中央４丁目,15,11,8,7,10,11,16,7,9,7,7,11,5,5,1,6,3,8,6,9,7,11,14,16,14,15,16,19,18,25,22,12,15,23,24,13,16,8,19,21,11,14,14,18,8,14,16,15,18,19,18,10,15,7,17,10,22,14,8,11,7,4,4,4,7,9,7,4,4,3,5,5,2,1,1,2,5,2,2,0,0,7,1,3,0,0,3,0,2,1,1,2,0,1,0,1,0,0,0,0,0,51,50,29,32,62,93,96,77,65,82,67,65,26,27,14,11,11,6,5
18,泉中央南,0,2,0,3,1,0,2,1,2,1,3,2,1,3,1,3,2,2,1,2,1,2,2,1,0,0,0,1,0,1,3,2,2,0,2,2,1,2,1,1,0,1,2,2,3,1,1,4,0,0,1,1,2,2,3,3,1,2,2,2,3,1,1,0,1,6,5,3,1,3,3,0,5,1,1,5,3,5,4,3,3,3,2,1,5,1,2,1,2,2,0,1,0,0,0,0,2,0,0,0,0,6,6,10,10,6,2,9,7,8,6,9,10,6,18,10,20,14,8,3
47,市名坂（大字計）,48,23,30,47,40,36,29,40,35,44,33,40,41,32,36,28,30,35,34,44,33,42,53,44,39,30,46,56,49,44,70,50,52,32,52,50,61,63,50,40,66,51,60,56,63,61,62,54,88,61,60,48,62,35,47,64,34,45,42,41,34,32,28,30,18,23,20,21,18,21,19,21,23,20,10,15,12,11,15,12,12,12,7,6,17,11,7,5,8,2,2,1,0,1,1,1,2,0,0,0,0,188,184,182,171,211,225,256,264,296,326,252,226,142,103,93,65,54,33,8
48,永和台,1,2,1,1,3,7,5,3,5,1,1,2,3,1,6,0,1,4,5,24,13,7,6,4,3,2,4,2,1,4,5,5,4,3,6,7,3,6,2,6,3,10,6,5,8,10,12,6,8,4,9,3,4,7,3,3,2,7,5,2,3,2,3,5,2,4,3,5,5,7,3,6,5,8,7,6,5,7,4,8,3,4,6,4,3,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,8,21,13,34,33,13,23,24,32,40,26,19,15,24,29,30,20,7,2
49,大沢１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,4,0,0,1,0,0,0,0,0,0,0,0,0,0
50,大沢２丁目,2,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,2,2,1,1,0,1,2,4,2,1,2,2,1,1,1,2,2,0,3,0,0,1,2,1,1,1,0,1,0,0,2,0,1,0,1,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,3,7,9,7,8,4,3,3,4,4,0,5,0,2,0
