,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
0,安養寺１丁目,5,7,4,7,8,7,3,5,8,9,5,7,8,4,4,6,1,5,6,6,5,7,11,7,10,6,11,13,6,6,11,8,9,10,11,11,10,12,17,16,14,6,10,10,9,11,20,16,11,11,15,13,14,7,19,6,8,11,7,3,6,13,10,8,10,14,12,12,10,9,17,10,8,2,7,9,6,4,5,6,10,4,10,4,6,3,3,1,1,2,2,3,0,1,2,1,0,0,0,0,0
1,安養寺２丁目,3,7,2,4,3,9,6,3,4,7,3,8,4,2,7,5,7,5,6,12,10,8,5,7,5,4,5,11,5,5,8,3,4,8,5,10,11,10,14,13,7,12,8,4,14,9,10,12,15,14,12,9,16,16,6,10,6,5,8,5,7,11,3,16,6,10,5,10,11,11,13,9,8,8,5,3,10,6,5,6,12,11,4,4,2,6,8,5,4,3,0,1,0,0,0,0,0,1,1,0,0
2,安養寺３丁目,0,0,0,2,1,1,0,0,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,銀杏町,7,5,9,4,12,9,5,7,6,3,9,16,11,9,7,8,12,7,10,13,8,28,17,8,20,15,21,26,20,19,12,19,20,16,16,15,19,11,14,16,21,19,14,18,21,18,14,24,24,11,19,15,17,11,11,15,18,24,14,12,16,19,12,12,13,9,11,12,10,11,18,18,16,4,4,10,10,6,4,4,8,3,3,6,4,5,4,3,3,1,1,2,2,3,0,1,0,0,0,0,0
4,出花１丁目,7,3,7,3,6,3,7,6,4,3,7,5,10,6,10,12,9,8,10,7,4,9,7,10,12,10,13,13,11,9,7,7,13,7,7,9,11,9,7,11,12,12,6,11,14,13,12,10,12,11,18,16,11,7,7,12,9,8,11,9,8,7,5,3,5,6,5,6,6,7,12,3,5,3,1,0,2,4,2,1,4,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
5,出花２丁目,5,0,3,4,5,1,1,0,1,0,1,2,1,4,3,2,3,4,7,10,5,2,8,5,5,10,11,6,3,4,3,6,2,7,5,6,9,4,3,3,4,7,12,15,7,10,11,10,11,6,3,4,6,6,7,5,4,2,5,3,6,3,1,4,4,4,5,2,13,1,4,3,10,2,4,3,4,3,2,1,1,1,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6,出花３丁目,3,4,2,1,5,3,1,4,0,3,5,4,4,3,3,1,4,4,4,3,1,1,3,2,0,4,2,1,0,5,3,2,3,2,4,4,6,4,7,3,4,4,2,2,4,8,4,7,7,4,7,6,7,6,1,5,4,3,1,3,3,2,1,1,1,2,2,3,3,2,1,1,1,3,1,1,2,0,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,岩切,85,87,76,61,101,69,68,86,62,81,76,68,71,73,64,68,56,66,58,63,70,64,58,80,69,73,98,96,98,100,89,107,115,97,112,114,95,138,120,95,110,115,136,89,138,117,112,115,111,90,84,97,89,71,71,62,58,69,65,55,79,72,60,63,57,55,62,68,66,74,59,67,99,58,44,46,61,49,55,58,42,39,43,29,26,16,29,18,19,18,18,5,11,6,2,3,1,2,0,1,0
53,岩切１丁目,1,3,1,4,2,0,2,3,1,2,3,1,5,2,2,2,1,2,0,2,1,1,1,2,1,2,3,2,1,3,2,1,4,2,3,1,5,4,4,1,4,3,0,6,4,7,6,4,1,2,2,4,1,2,1,4,1,2,0,6,2,3,3,7,3,3,3,4,4,2,4,4,4,4,1,2,2,5,1,2,1,1,0,1,0,1,4,1,2,0,1,0,0,1,0,0,1,0,0,0,0
54,岩切２丁目,2,3,3,1,0,4,9,7,4,3,3,7,3,8,5,8,5,2,5,6,3,6,10,2,5,5,3,5,3,7,2,10,7,6,12,5,6,4,4,8,5,9,6,7,7,7,8,8,12,5,9,9,7,9,9,4,5,4,8,2,8,4,4,8,5,8,5,5,2,4,6,3,5,3,6,0,5,8,4,7,5,2,2,2,0,1,3,2,1,2,2,0,1,0,0,0,1,1,0,0,0
55,岩切３丁目,1,1,5,8,3,2,7,2,5,5,6,4,3,7,2,6,2,3,5,2,3,4,4,3,4,4,4,1,3,6,6,3,7,8,8,3,11,10,7,10,7,8,6,4,9,7,15,11,10,5,8,7,4,8,1,6,3,5,7,4,7,4,5,3,3,5,4,4,5,6,8,8,10,1,5,5,1,2,5,8,4,2,4,4,3,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0
56,岩切分台１丁目,7,7,6,3,6,4,6,5,2,5,9,11,2,6,0,4,3,1,3,4,1,3,1,3,3,1,5,6,3,3,6,8,10,12,6,9,6,7,0,8,8,11,8,6,6,10,11,4,2,4,0,2,3,2,3,4,1,2,1,3,1,1,1,1,0,3,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,岩切分台２丁目,5,5,1,5,4,5,0,3,6,5,9,5,6,4,2,7,6,2,0,0,2,1,1,3,2,1,4,4,3,4,3,4,5,4,4,3,3,2,3,3,5,4,4,11,4,6,7,10,5,3,3,3,3,2,3,2,1,2,2,1,1,2,1,1,0,1,0,0,2,2,0,3,0,2,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
58,岩切分台３丁目,8,7,7,7,5,8,6,7,5,9,10,13,9,7,10,11,9,10,14,8,2,1,4,3,4,4,8,6,10,14,10,7,9,10,9,8,4,10,7,8,14,9,12,13,15,19,11,11,15,11,10,10,14,6,3,5,9,4,4,1,3,3,7,6,4,2,4,2,2,3,0,3,1,5,1,3,0,1,0,1,0,1,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0
59,扇町１丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
60,扇町３丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
61,扇町５丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
62,扇町６丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
63,扇町７丁目,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
64,大梶,11,7,4,10,5,9,9,11,9,14,9,6,21,14,18,10,14,17,22,13,12,13,14,8,13,14,8,15,16,16,13,11,15,10,19,29,19,7,5,16,15,17,23,21,19,20,20,21,12,20,22,19,23,21,25,24,20,21,27,28,23,20,15,28,25,15,18,27,14,26,29,33,23,13,5,8,14,7,10,7,6,6,4,3,6,2,3,2,3,4,3,1,2,1,2,0,1,1,0,0,0
94,岡田,6,6,5,14,4,8,5,9,3,8,8,8,4,9,7,7,9,4,6,11,10,16,9,9,5,3,6,9,4,7,7,7,7,4,3,13,11,8,8,7,3,9,13,15,13,11,9,12,15,11,14,12,13,9,16,13,14,7,9,16,10,16,12,5,19,13,15,13,19,17,16,13,21,14,6,12,7,10,13,4,4,8,6,7,5,5,2,2,1,1,1,0,2,1,1,1,0,0,0,1,0
95,小田原１丁目,18,30,27,14,20,19,8,16,13,12,13,15,12,11,14,9,5,8,8,8,14,12,15,15,24,25,34,30,31,33,19,39,34,49,27,38,31,29,23,24,33,32,26,30,28,35,17,15,18,21,24,23,17,8,11,13,9,8,14,15,13,11,8,11,11,7,7,6,7,11,5,6,10,7,3,6,2,3,7,1,1,2,1,4,4,0,1,2,0,2,0,1,1,1,1,1,1,0,0,0,0
96,小田原２丁目,6,4,4,6,4,3,2,2,7,3,2,3,4,4,4,1,3,1,3,4,6,8,7,8,13,7,7,8,7,6,10,9,8,6,13,6,9,7,10,4,11,6,6,5,8,12,6,6,9,0,6,6,12,3,1,6,6,6,4,5,6,5,2,2,5,3,3,5,5,2,5,3,2,3,3,3,4,1,4,1,2,6,5,0,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
97,小田原３丁目,3,3,5,3,1,2,3,2,4,2,4,5,6,2,0,1,3,6,5,4,6,6,2,7,7,5,6,5,6,5,7,9,17,8,11,6,6,7,7,9,11,9,8,10,7,9,6,4,9,11,6,10,5,5,13,4,10,6,6,8,5,6,9,6,9,3,10,7,3,5,7,9,7,6,2,6,3,3,3,3,4,2,2,5,1,3,2,0,3,1,1,1,0,1,1,0,0,0,0,0,0
98,小田原山本丁,2,1,2,4,4,2,4,0,1,2,2,6,1,4,2,1,3,1,4,2,1,3,1,2,0,0,2,0,2,3,4,4,1,5,2,3,2,1,3,6,2,3,3,5,8,3,6,6,2,6,2,4,3,4,2,0,2,1,1,1,3,1,2,2,0,1,3,6,3,1,1,2,3,2,1,1,3,0,3,1,0,1,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
