,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
0,青山１丁目,6,1,4,3,3,5,3,1,5,5,6,5,5,1,5,2,2,3,3,2,7,3,4,5,2,7,1,8,6,3,5,6,7,7,4,4,7,7,7,10,5,6,6,8,8,7,3,7,3,2,5,1,6,7,1,5,4,7,8,4,8,7,7,11,5,9,9,5,9,9,13,9,8,6,6,7,8,5,3,7,6,2,5,4,5,7,5,7,3,9,6,3,4,6,8,0,3,1,2,0,1,17,19,22,12,21,25,29,35,33,22,20,28,38,41,42,30,22,31,34
1,青山２丁目,8,5,4,6,9,8,7,5,8,4,5,6,0,3,3,3,6,4,3,5,11,9,7,7,7,5,7,9,7,8,6,9,5,12,5,7,5,10,11,3,6,10,9,7,3,9,9,5,7,9,9,12,7,4,5,9,11,13,11,4,8,5,8,10,6,7,5,3,12,8,16,14,11,7,6,6,11,14,14,8,4,7,11,10,12,12,8,5,5,6,9,3,3,2,2,1,2,0,0,0,1,32,32,17,21,41,36,37,36,35,39,37,48,37,35,54,53,44,36,23
17,秋保町境野（大字計）,1,1,0,0,0,2,0,1,3,1,1,3,0,1,1,0,0,3,1,1,3,1,2,0,0,1,0,0,2,1,0,1,3,0,1,1,2,1,3,1,1,3,2,2,0,2,3,2,0,0,0,1,1,0,2,2,1,2,3,1,6,3,3,3,4,1,2,4,2,2,6,4,4,4,1,4,2,0,3,2,0,1,2,2,2,1,2,2,2,4,1,2,1,1,0,0,1,0,0,0,0,2,7,6,5,6,4,5,8,8,7,4,9,19,11,19,11,7,11,6
69,秋保町長袋（大字計）,4,3,3,3,1,5,2,3,2,1,5,8,2,3,3,10,4,3,1,3,4,0,3,5,1,2,1,5,4,3,5,7,4,1,4,4,5,3,7,3,11,7,10,4,8,7,4,4,4,5,6,4,1,3,6,3,5,4,4,9,5,5,5,10,8,10,13,13,10,16,11,16,18,7,7,7,4,5,8,9,5,4,10,8,9,7,7,2,11,5,8,4,8,6,8,1,3,5,1,1,1,14,13,21,21,13,15,21,22,40,24,20,25,33,62,59,33,36,32,46
96,秋保町馬場（大字計）,1,0,0,0,0,1,2,2,2,2,1,4,1,0,2,4,4,3,2,5,2,2,1,3,1,2,0,0,5,2,0,1,2,3,0,2,3,2,1,2,3,1,3,1,4,1,1,4,5,2,1,1,6,1,1,7,4,5,6,2,4,6,5,5,6,7,2,7,7,4,11,9,5,5,3,1,8,2,2,4,3,2,5,3,4,8,8,5,5,1,3,6,2,4,2,1,0,2,0,0,0,1,9,8,18,9,9,6,10,12,13,10,24,26,27,33,17,17,27,20
97,秋保町湯向,1,1,0,5,5,1,3,1,5,4,1,2,4,3,2,1,2,3,13,14,8,8,6,4,4,1,1,0,3,3,1,2,0,2,4,5,8,5,2,6,3,2,3,3,5,1,6,2,1,5,6,4,3,3,0,3,1,2,1,3,1,5,4,3,7,2,2,1,7,3,6,8,3,6,1,4,3,0,4,0,1,3,2,1,2,1,0,5,4,1,4,0,1,2,0,0,0,0,0,0,0,12,14,12,33,30,8,9,26,16,15,16,10,20,15,24,11,9,11,7
121,秋保町湯元（大字計）,1,4,3,1,3,5,6,7,4,8,4,4,3,5,6,5,5,7,17,40,29,22,11,13,10,8,5,5,6,12,4,5,7,9,5,1,9,8,9,8,8,9,10,9,15,6,12,4,9,10,8,4,8,5,8,9,5,16,6,5,10,6,14,14,12,9,14,13,11,14,17,11,14,17,10,12,7,7,10,16,13,9,12,4,11,11,2,5,7,5,5,5,3,3,2,2,2,2,1,0,3,12,30,22,74,85,36,30,35,51,41,33,41,56,61,69,52,49,30,28
122,芦の口,1,1,0,0,1,5,3,3,3,4,6,2,3,5,4,3,3,1,3,1,3,2,1,1,2,3,0,3,2,0,1,2,1,3,3,3,6,2,4,3,3,5,4,9,7,3,7,6,11,7,2,6,5,8,4,7,4,4,6,3,6,3,4,5,3,4,5,2,5,3,7,5,8,5,5,5,3,2,7,3,4,4,8,4,8,6,3,6,0,5,2,3,3,2,1,1,0,0,0,0,0,3,18,20,11,9,8,10,18,28,34,25,24,21,19,30,20,28,20,12
123,あすと長町１丁目,6,10,9,7,3,1,6,0,2,2,1,4,1,2,1,2,3,3,2,3,2,3,3,4,1,9,8,8,18,7,12,21,8,1,12,11,16,11,7,5,10,4,8,10,7,4,7,5,12,11,5,8,5,7,7,5,8,5,3,7,4,0,2,2,5,4,3,2,1,2,1,4,4,1,0,1,2,3,3,3,2,5,5,2,2,5,3,3,8,8,5,5,4,4,2,2,0,1,1,1,1,35,11,9,13,13,50,54,50,39,39,32,28,13,12,10,12,16,27,26
124,あすと長町３丁目,5,5,2,4,0,4,7,4,4,5,5,11,8,8,7,2,10,5,4,3,3,3,9,7,4,6,13,10,14,6,7,8,10,8,6,8,6,13,9,7,14,15,11,14,11,12,7,5,3,10,8,2,7,2,2,3,2,2,4,2,2,1,2,4,4,3,2,3,2,3,0,3,1,1,0,0,3,1,2,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,16,24,39,24,26,49,39,43,65,37,21,13,13,13,5,7,4,3,3
125,あすと長町４丁目,37,50,44,36,42,26,32,29,20,15,14,8,8,12,16,4,10,11,5,9,5,5,11,4,2,14,13,15,28,26,36,25,50,56,37,48,66,42,30,39,33,34,29,35,21,39,31,25,21,22,19,18,12,16,11,16,16,17,7,20,10,11,7,11,6,6,8,12,10,11,11,8,7,6,1,6,8,3,8,6,3,6,6,6,4,2,2,4,3,1,0,0,1,2,2,2,1,1,0,0,0,209,122,58,39,27,96,204,225,152,138,76,76,45,47,33,31,25,12,9
126,泉崎１丁目,5,11,7,9,3,9,12,6,10,11,12,14,7,12,12,19,9,10,12,11,19,19,28,16,24,21,21,20,13,14,21,23,14,8,24,28,28,26,18,18,24,20,27,26,29,23,21,21,27,22,24,19,16,16,16,22,12,18,8,15,19,9,16,24,23,11,13,15,12,9,10,17,16,9,10,8,8,9,9,7,12,7,6,7,4,8,5,7,7,2,9,3,0,2,2,0,4,0,0,0,1,35,48,57,61,106,89,90,118,126,114,91,75,91,60,62,41,36,29,21
127,泉崎２丁目,6,11,7,14,4,6,7,10,7,7,8,2,9,7,3,10,9,5,13,10,11,17,9,12,5,8,14,16,14,14,18,16,11,13,13,23,19,8,16,20,21,14,10,10,9,14,13,20,9,6,18,11,8,13,11,16,18,9,6,10,11,8,12,3,4,11,11,4,11,8,12,7,2,6,4,1,6,5,4,7,5,7,3,5,3,6,4,3,3,1,2,2,0,1,0,1,1,0,0,0,0,42,37,29,47,54,66,71,86,64,62,61,59,38,45,31,23,23,17,7
128,大塒町,4,3,1,5,3,3,4,5,3,5,4,4,5,0,8,5,5,7,4,7,4,8,6,5,2,10,5,7,4,4,3,6,10,4,2,7,8,5,8,4,8,10,7,3,6,8,7,7,7,10,7,7,5,6,9,12,8,9,6,7,6,2,5,6,6,11,11,8,10,4,14,9,13,9,11,7,4,4,7,3,6,3,4,6,8,5,2,6,2,2,3,5,3,1,2,0,1,0,1,0,0,16,20,21,28,25,30,25,32,34,39,34,42,25,44,56,25,27,17,16
131,大野田（大字計）,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,0,0,2,2,3,3,2,0,1,0,2,0,0,0
132,大野田１丁目,2,6,6,3,0,2,1,1,4,2,3,2,2,2,2,2,2,3,4,5,2,5,6,9,10,7,7,5,6,6,3,6,4,5,6,5,4,4,4,2,4,12,6,5,6,8,11,4,4,4,10,11,11,6,7,4,6,4,7,9,7,5,7,4,4,5,3,4,2,3,4,5,2,2,1,3,7,2,5,1,0,1,0,0,5,2,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,17,10,11,16,32,31,24,19,33,31,45,30,27,17,14,18,6,5,4
133,大野田２丁目,5,5,4,2,6,5,10,5,9,9,4,6,5,6,6,3,7,2,3,2,5,5,5,7,4,8,8,6,5,10,2,9,13,4,11,9,13,9,13,8,11,2,11,6,9,15,11,7,12,10,7,8,5,5,8,11,7,3,6,7,7,10,10,4,3,4,3,8,6,7,5,3,10,4,5,2,6,3,1,2,4,6,2,3,2,3,6,1,0,1,1,0,0,2,1,0,0,0,0,0,0,22,38,27,17,26,37,39,52,39,55,33,34,34,28,27,14,17,11,4
134,大野田３丁目,9,8,12,9,15,6,3,6,7,6,4,3,4,4,5,8,6,4,6,14,5,4,6,8,7,5,4,13,7,10,8,14,8,6,9,8,13,13,14,8,2,10,11,6,13,12,7,11,12,11,6,9,9,9,9,1,6,5,4,5,5,5,10,4,3,2,3,1,1,5,2,6,10,5,3,2,5,4,4,1,5,1,2,4,1,2,4,3,3,1,0,2,1,1,1,0,0,0,0,0,0,53,28,20,38,30,39,45,56,42,53,42,21,27,12,26,16,13,13,5
135,大野田４丁目,13,16,14,12,13,14,20,14,8,11,9,9,6,6,6,4,9,7,4,6,6,7,2,4,1,4,9,8,4,16,13,18,10,20,14,22,19,21,13,13,24,18,16,31,24,12,10,17,15,13,8,12,17,3,4,7,4,5,4,8,4,1,4,1,5,2,5,5,2,6,2,5,6,4,2,1,2,4,2,3,3,2,3,4,5,2,1,3,4,0,1,3,2,5,1,2,1,1,0,0,0,68,67,36,30,20,41,75,88,113,67,44,28,15,20,19,12,17,10,16
136,大野田５丁目,7,11,15,13,8,14,11,8,11,5,12,9,9,4,12,4,8,2,5,2,6,3,3,4,5,9,14,10,20,11,16,22,15,18,11,12,11,16,18,18,14,13,24,23,19,11,19,15,19,8,9,7,11,2,8,5,2,7,5,6,4,4,3,4,1,1,6,3,5,7,8,6,6,2,2,4,2,4,11,6,3,3,4,3,4,4,1,2,2,3,2,2,3,1,1,1,1,0,0,0,1,54,49,46,21,21,64,82,75,93,72,37,25,16,22,24,27,17,12,12
137,大谷地,4,2,3,4,5,6,9,6,4,2,7,5,4,7,6,6,4,2,5,1,10,5,5,5,6,3,6,5,6,5,6,6,2,5,9,12,6,12,11,2,2,7,5,4,7,9,15,8,9,7,8,9,6,9,6,5,3,9,4,4,4,5,3,7,6,3,7,6,8,6,5,10,7,1,3,13,6,5,3,5,4,3,1,2,8,6,4,4,2,1,1,4,2,0,2,2,0,2,0,3,1,18,27,29,18,31,25,28,43,25,48,38,25,25,30,26,32,18,17,17
142,鈎取（大字計）,3,0,3,0,1,3,2,4,3,3,3,1,8,5,6,0,2,1,3,2,0,1,0,1,3,1,4,1,4,4,3,1,1,2,4,1,4,5,2,7,7,5,4,4,5,9,5,6,4,6,2,5,2,3,3,8,5,1,4,0,5,6,1,4,2,3,2,8,3,8,4,7,6,3,3,5,4,4,3,6,4,0,4,1,4,2,1,0,1,2,1,0,2,0,1,2,2,0,0,0,0,7,15,23,8,5,14,11,19,25,30,15,18,18,24,23,22,13,6,8
143,鈎取１丁目,2,1,2,1,0,1,1,0,0,0,1,1,4,2,1,1,3,2,1,1,3,2,3,4,2,2,1,3,4,1,2,6,6,0,4,2,7,5,1,2,3,3,2,7,1,4,7,4,5,7,3,4,7,5,3,2,8,6,6,5,6,6,1,7,6,3,9,5,9,4,4,4,11,5,3,3,6,3,4,4,2,6,6,3,3,3,4,1,1,1,1,0,0,0,0,0,1,0,0,1,0,6,2,9,8,14,11,18,17,16,27,22,27,26,30,27,20,20,10,3
144,鈎取２丁目,2,2,4,5,5,5,5,4,6,4,5,3,2,6,4,5,6,4,2,4,2,4,3,4,3,7,4,6,5,6,2,4,3,8,6,9,8,11,5,11,11,8,8,11,9,13,7,6,7,5,15,16,7,9,6,4,12,9,6,3,5,11,5,4,9,7,11,14,13,13,18,21,15,16,11,13,10,17,11,9,11,3,11,7,5,4,1,3,7,1,1,1,2,3,4,1,0,1,0,0,1,18,24,20,21,16,28,23,44,47,38,53,34,34,58,81,60,37,16,14
145,鈎取３丁目,2,1,1,1,3,3,3,2,4,5,3,9,3,2,2,2,5,4,1,4,2,3,4,6,2,7,2,1,4,4,6,2,3,6,7,4,6,5,7,3,7,5,4,14,6,8,4,9,5,6,4,11,2,4,2,2,3,7,3,8,4,2,6,5,8,7,10,8,11,15,11,10,6,3,3,5,4,2,5,6,1,3,2,5,4,6,4,4,3,7,4,2,1,0,6,4,0,0,0,0,0,8,17,19,16,17,18,24,25,36,32,23,23,25,51,33,22,15,24,17
146,鈎取４丁目,10,6,8,6,4,4,3,6,4,3,3,8,5,3,4,6,4,4,4,6,4,6,7,6,5,7,6,10,8,5,8,8,11,8,7,15,7,9,14,8,13,15,8,9,10,11,3,11,11,10,12,8,8,3,7,12,5,2,9,7,5,6,7,3,11,8,4,10,11,10,8,7,7,6,6,9,11,7,4,7,6,6,5,5,2,1,4,2,4,1,0,3,4,1,2,2,3,0,0,0,0,34,20,23,24,28,36,42,53,55,46,38,35,32,43,34,38,24,12,15
147,鈎取本町１丁目,0,5,5,3,3,2,3,3,2,2,1,4,2,3,4,1,1,3,1,2,3,0,4,1,5,5,12,5,7,5,8,4,4,5,3,6,6,3,5,7,9,6,4,6,7,2,7,6,7,6,5,8,3,3,8,4,4,6,3,7,2,6,2,8,6,5,1,6,3,9,5,11,11,9,5,7,8,6,3,3,6,5,8,4,4,3,4,5,1,1,2,5,4,2,2,3,0,2,1,0,2,16,12,14,8,13,34,24,27,32,28,27,24,24,24,41,27,27,14,23
148,鈎取本町２丁目,8,4,4,2,5,4,2,4,2,6,2,1,5,3,2,3,4,4,2,5,3,10,12,10,12,6,2,4,7,8,1,5,7,8,4,11,4,6,7,3,5,9,3,5,7,4,4,5,7,7,4,4,3,2,4,6,6,12,5,3,8,4,2,0,5,8,5,3,7,3,12,3,7,1,2,0,4,2,4,3,5,1,2,1,0,5,1,1,3,1,0,0,0,1,1,0,0,0,2,0,0,23,18,13,18,47,27,25,31,29,27,17,32,19,26,25,13,9,11,4
149,鹿野１丁目,4,4,6,3,7,1,2,6,4,2,4,3,3,3,2,0,2,5,3,3,3,6,5,2,4,6,7,7,4,5,3,7,7,5,5,4,4,8,10,7,4,6,4,4,3,5,3,7,3,1,4,6,4,7,7,6,5,4,1,3,2,7,4,3,8,2,3,6,3,1,7,3,3,3,1,3,2,4,3,2,2,3,3,1,4,2,1,2,2,3,2,1,1,6,0,1,0,0,0,0,0,24,15,15,13,20,29,27,33,21,19,28,19,24,15,17,14,13,10,11
150,鹿野２丁目,6,2,1,6,4,5,3,8,3,7,4,2,8,3,5,6,7,6,5,9,9,5,2,8,5,5,5,7,8,6,4,9,13,13,9,8,6,9,15,11,12,7,10,10,12,14,10,8,13,6,16,4,7,9,20,8,12,7,9,10,9,13,9,10,10,8,7,11,15,15,9,12,9,6,7,8,11,9,7,5,2,11,6,9,4,9,3,5,9,0,1,2,3,2,1,0,1,1,0,0,0,19,26,22,33,29,31,48,49,51,51,56,46,51,56,43,40,32,26,11
151,鹿野３丁目,14,14,7,12,12,17,18,13,15,20,14,17,17,17,7,14,17,12,15,12,15,23,25,21,17,22,26,15,28,26,19,14,20,20,20,31,28,24,23,25,21,14,26,32,23,32,31,28,32,30,33,33,32,16,20,16,11,17,16,20,21,19,16,19,12,17,11,11,13,22,12,11,22,11,9,10,10,15,5,8,9,9,10,2,2,3,5,3,2,1,8,6,5,2,0,1,0,0,0,1,1,59,83,72,70,101,117,93,131,116,153,134,80,87,74,65,48,32,14,24
152,鹿野本町,7,4,1,4,6,2,5,8,5,5,1,11,3,4,5,6,3,3,7,8,11,9,8,9,5,9,4,6,7,9,3,8,5,3,5,7,7,8,8,6,12,14,7,7,11,5,9,15,9,5,4,9,15,11,11,5,6,14,5,7,7,5,12,11,5,4,9,8,6,9,9,12,7,9,4,7,3,5,7,7,9,7,5,3,3,5,4,6,3,1,1,2,1,1,1,2,1,0,2,0,1,22,25,24,27,42,35,24,36,51,43,50,37,40,36,41,29,27,19,12
153,上野山１丁目,5,3,7,5,13,4,7,12,3,6,9,5,8,4,4,3,3,5,5,8,4,8,4,9,13,6,4,10,6,6,6,8,11,7,9,9,9,9,8,4,19,12,9,10,4,5,7,6,10,10,9,12,7,3,10,11,10,3,5,4,10,5,4,6,7,11,11,3,8,10,7,12,6,9,4,6,8,12,10,7,11,8,3,8,4,4,3,7,4,2,4,4,2,4,0,0,0,1,0,0,1,33,32,30,24,38,32,41,39,54,38,41,33,32,43,38,43,34,20,16
