,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
0,青山１丁目,3,2,3,4,4,7,5,5,4,1,3,2,5,1,6,0,6,2,3,5,6,6,7,5,7,6,3,1,4,2,4,8,4,5,7,7,9,3,3,5,8,8,7,8,8,16,4,9,6,9,3,9,7,6,4,10,3,2,5,8,4,4,7,7,13,10,9,8,6,7,9,5,7,6,2,7,7,11,6,3,4,3,9,1,1,3,2,1,4,4,5,3,3,1,1,0,1,1,1,0,0,16,22,17,16,31,16,28,27,39,44,29,28,35,40,29,34,18,14,16
1,青山２丁目,5,4,4,8,4,4,7,4,3,8,6,3,3,5,3,2,4,4,5,8,13,17,16,11,14,16,15,11,9,12,4,4,11,11,9,5,10,9,12,13,15,10,11,13,6,12,13,12,12,14,15,13,12,7,10,10,11,11,8,4,4,11,7,6,8,10,15,7,16,7,4,10,19,9,9,7,8,7,6,5,2,8,5,3,7,4,4,3,1,3,1,2,0,2,1,0,0,0,0,0,0,25,26,20,23,71,63,39,49,55,63,57,44,36,55,51,33,25,15,6
17,秋保町境野,1,0,0,2,0,2,0,2,2,1,0,0,1,2,2,1,1,2,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2,2,0,4,1,1,2,4,3,2,0,3,1,2,3,3,2,0,0,3,1,1,2,2,0,2,5,1,2,3,4,4,3,8,1,6,4,3,5,5,1,1,2,1,2,1,2,1,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,7,5,4,3,3,4,8,11,12,6,7,15,22,18,7,5,4,1
69,秋保町長袋,3,5,6,1,7,3,2,1,2,4,2,2,4,4,4,1,5,5,3,7,1,2,1,3,1,6,2,4,3,1,3,4,6,7,4,5,5,2,8,4,8,9,6,7,7,5,7,4,9,9,6,5,7,2,7,7,3,4,9,5,5,6,11,8,8,6,8,11,18,15,15,20,8,8,10,5,10,6,1,4,4,3,8,4,1,7,6,5,0,2,0,1,2,3,1,1,0,2,0,0,0,22,12,16,21,8,16,24,24,37,34,27,28,38,58,61,26,20,20,10
96,秋保町馬場,1,3,0,3,2,0,1,0,3,1,1,0,2,2,6,2,3,1,1,4,3,3,3,1,1,0,0,4,2,0,1,2,5,1,1,3,3,4,6,4,1,3,0,7,5,1,4,2,5,1,5,6,6,1,4,3,4,5,3,7,3,8,5,4,10,6,4,6,2,12,9,5,6,6,6,2,2,2,2,3,3,3,3,2,2,5,2,3,1,2,0,2,1,0,0,1,0,0,0,1,0,9,5,11,11,11,6,10,20,16,13,22,22,30,30,32,11,13,13,5
97,秋保町湯向,3,1,6,4,1,2,2,1,6,4,6,2,3,1,1,2,3,0,5,3,6,4,3,2,1,4,2,3,3,1,3,2,4,3,3,4,3,3,3,4,5,4,5,1,2,5,5,8,5,6,4,1,6,2,1,2,4,5,2,1,0,3,3,2,3,3,3,4,4,1,5,5,3,2,1,5,2,3,2,2,2,2,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,13,13,16,13,15,17,17,29,14,14,11,15,16,14,8,4,0
121,秋保町湯元,4,4,4,5,3,5,2,3,1,2,0,6,3,7,0,4,5,7,5,14,10,8,10,2,6,5,4,8,8,9,6,6,6,8,5,8,5,7,12,8,11,12,7,12,12,12,19,15,10,13,12,10,5,10,13,8,5,8,10,11,6,10,6,7,7,8,9,10,22,16,23,13,14,7,7,9,13,9,9,6,8,2,5,6,3,4,2,5,0,0,1,1,0,1,0,1,0,0,0,1,0,20,13,16,35,36,34,31,40,54,69,50,42,36,65,64,46,24,11,5
122,芦の口,1,3,3,6,4,2,3,1,8,2,4,2,5,3,5,2,7,1,4,7,3,4,3,3,5,2,4,2,1,1,3,3,2,2,0,2,6,2,3,4,2,4,5,9,5,5,8,13,7,6,5,2,2,5,5,4,7,6,5,4,4,6,4,2,1,4,2,5,4,7,4,9,10,2,4,2,3,3,7,4,2,4,2,2,5,2,3,2,3,1,2,1,0,0,2,0,0,0,0,0,0,17,16,19,21,18,10,10,17,25,39,19,26,17,22,29,19,15,11,5
123,あすと長町１丁目,16,8,9,7,10,5,2,3,4,1,1,2,3,0,2,1,3,0,3,3,0,0,5,0,3,13,3,5,13,10,8,15,12,14,8,10,12,10,15,5,9,6,3,5,8,3,6,4,7,13,5,6,2,2,3,6,5,4,4,5,3,3,4,1,4,3,2,3,3,0,1,4,3,0,0,2,2,2,0,0,1,1,2,1,3,2,0,3,2,1,2,1,1,2,1,1,1,0,0,1,0,50,15,8,10,8,44,57,52,31,33,18,24,15,11,8,6,8,8,10
124,あすと長町３丁目,3,7,2,10,6,5,7,9,7,10,5,3,8,3,3,1,3,6,5,1,0,2,3,3,6,4,8,12,10,5,8,8,4,6,18,8,7,11,14,9,10,16,8,11,13,11,11,11,7,10,9,5,5,5,3,3,3,3,0,1,3,3,1,3,3,4,3,3,0,4,2,2,0,1,1,2,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,38,22,16,14,39,44,49,58,50,27,10,13,14,6,6,1,2,0
