,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
40,荒井（大字計）,5,3,8,8,5,7,6,4,9,1,8,2,6,5,2,6,3,5,6,10,11,5,5,4,7,7,4,6,11,7,4,8,12,6,6,7,11,10,7,13,6,4,5,6,6,3,8,8,13,4,13,13,5,9,10,7,13,8,9,7,10,12,9,8,14,10,7,7,10,10,13,18,8,11,3,10,13,13,10,9,5,5,15,12,11,7,3,2,9,6,2,1,1,3,4,2,1,1,2,1,1,29,27,23,30,32,35,36,48,27,36,50,44,53,44,53,55,48,27,19
41,荒井１丁目,13,5,6,13,4,6,3,6,11,6,13,13,10,10,7,7,9,10,5,6,4,5,3,4,6,4,6,8,9,7,13,13,4,12,15,7,14,13,11,12,11,8,19,17,14,14,13,8,10,12,12,6,4,11,9,2,5,6,7,4,5,6,3,4,2,2,6,7,4,4,7,4,3,5,5,4,5,1,5,2,1,4,1,7,5,5,3,6,5,3,0,0,0,0,0,1,0,0,0,0,0,41,32,53,37,22,34,57,57,69,57,42,24,20,23,24,17,18,22,1
42,荒井２丁目,6,6,4,3,5,2,3,8,4,8,4,3,5,6,3,7,6,5,5,6,10,5,5,7,5,3,5,14,7,11,9,9,5,8,6,6,8,8,7,6,11,3,8,5,12,13,13,13,8,6,9,10,7,5,6,7,6,6,3,10,6,3,2,2,6,3,5,4,7,6,8,7,10,4,8,3,5,6,6,5,4,5,5,4,3,1,1,1,3,0,3,1,0,1,1,0,0,0,1,0,0,24,25,21,29,32,40,37,35,39,53,37,32,19,25,37,25,21,6,7
43,荒井３丁目,7,5,5,7,7,4,8,8,11,10,5,5,7,6,12,14,8,10,6,8,6,9,10,4,7,5,9,11,10,10,9,11,5,11,8,8,11,13,10,10,12,10,15,10,7,15,10,19,11,15,10,10,5,6,7,8,8,10,5,1,7,5,2,3,2,5,4,3,5,6,2,6,7,5,2,4,6,5,7,7,7,6,4,2,7,1,3,3,0,1,1,1,0,1,0,1,0,1,1,0,0,31,41,35,46,36,45,44,52,54,70,38,32,19,23,22,29,26,8,6
44,荒井４丁目,14,9,10,8,5,6,14,5,7,12,11,16,6,5,12,6,11,15,11,10,10,10,7,7,8,12,9,8,8,15,11,13,22,9,10,15,13,11,15,13,17,15,13,16,10,13,12,19,16,21,17,10,10,14,10,15,9,9,10,9,6,5,13,4,4,6,5,7,7,4,8,14,6,7,4,3,15,8,4,2,6,5,8,5,4,8,8,4,2,4,1,2,0,2,1,0,2,0,0,0,1,46,44,50,53,42,52,65,67,71,81,61,52,32,29,39,32,28,26,9
45,荒井５丁目,3,1,0,2,5,2,5,1,1,1,3,2,3,4,4,3,4,4,4,3,1,7,5,3,5,6,14,7,6,10,9,11,7,5,6,8,6,4,2,7,5,4,7,5,10,8,5,9,12,8,0,3,6,2,3,2,2,3,4,3,0,2,1,3,3,0,1,3,2,2,5,4,1,2,3,3,2,2,3,3,3,2,3,4,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,11,10,16,18,21,43,38,27,31,42,14,14,9,8,15,13,13,5,1
46,荒井６丁目,0,3,4,6,1,2,5,2,0,1,1,2,0,4,2,3,1,0,3,1,0,2,2,4,3,1,4,3,3,5,1,4,8,6,5,7,6,4,6,2,3,2,3,6,6,4,6,4,2,3,0,1,1,2,4,2,1,5,3,2,1,2,0,0,1,1,0,2,6,4,1,2,0,0,0,1,2,0,1,2,2,1,1,0,0,2,2,0,0,3,0,0,0,0,1,0,1,0,1,0,0,14,10,9,8,11,16,24,25,20,19,8,13,4,13,3,6,4,7,3
47,荒井７丁目,17,12,14,17,30,7,13,18,10,14,19,9,14,10,9,6,8,6,8,8,6,8,11,5,7,13,10,10,24,12,16,10,18,24,21,33,20,21,23,22,30,24,20,18,24,15,15,13,20,18,13,13,22,6,8,9,7,6,7,12,3,6,8,7,10,8,5,8,15,12,13,11,7,3,9,6,8,12,7,6,7,6,4,4,5,5,4,2,4,3,1,3,3,2,0,2,2,0,0,0,0,90,62,61,36,37,69,89,119,116,81,62,41,34,48,43,39,26,18,13
48,荒井８丁目,1,3,2,0,1,2,1,0,3,2,2,0,1,5,1,4,0,1,0,1,2,3,4,4,0,2,3,2,8,1,2,1,5,5,4,3,1,3,2,1,3,3,3,2,2,5,7,4,2,1,3,2,1,3,2,2,3,1,3,3,1,0,1,1,3,2,2,0,2,1,3,8,2,1,3,4,2,1,1,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8,9,6,13,16,17,10,13,19,11,12,6,7,17,8,3,3,0
49,荒井東１丁目,0,4,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,4,2,3,3,6,3,5,2,2,2,1,2,0,2,5,3,1,3,2,0,0,1,1,0,0,2,0,0,2,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,7,17,12,12,6,4,3,2,3,0,0,2,1,1,0
50,荒井東２丁目,2,3,4,4,5,7,6,9,2,6,9,5,5,1,1,3,1,1,4,2,3,0,3,0,3,2,3,2,2,6,4,8,5,7,5,8,9,9,5,9,6,3,8,9,6,5,8,4,5,4,3,2,4,4,6,4,6,8,5,3,3,11,6,8,8,8,7,7,16,8,8,4,11,6,5,10,9,6,11,8,7,3,7,11,8,7,6,9,4,12,4,7,8,4,7,6,2,4,1,1,5,18,30,21,11,9,15,29,40,32,26,19,26,36,46,34,44,36,38,49
51,荒井南,16,19,17,20,16,25,29,22,19,13,17,10,8,6,9,7,5,2,4,2,3,1,0,4,1,1,4,3,4,5,7,14,22,20,25,30,20,30,24,20,19,21,15,11,9,18,12,7,8,5,2,4,3,4,2,4,1,1,3,7,5,2,3,5,9,5,3,8,5,6,2,5,4,1,4,3,5,6,1,5,1,3,3,0,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,88,108,50,20,9,17,88,124,75,50,15,16,24,27,16,20,10,3,2
59,荒浜（大字計）,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,2,2,0,2,1,1,1,1,1,1,0,1,0,4,0,0,0,0,2,0,2,1,1,0,0,2,1,1,1,2,1,0,1,1,4,0,1,0,3,1,2,1,2,3,4,0,2,2,2,1,2,2,1,1,5,2,1,0,2,0,1,2,0,1,2,2,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,5,5,4,4,5,4,5,7,7,11,9,10,5,6,7,1
60,荒浜新２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
