,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
40,荒井,4,3,4,8,6,7,5,3,8,3,5,8,4,6,5,7,0,4,7,11,10,6,8,10,9,6,5,12,7,7,6,8,5,12,9,10,10,4,4,7,10,6,8,4,6,8,13,9,2,7,10,6,7,5,7,18,10,13,10,6,11,7,9,9,10,15,4,13,13,4,7,14,10,10,6,5,11,14,7,6,14,4,3,5,8,4,4,2,4,3,2,1,0,1,0,0,0,1,1,0,0,25,26,28,29,43,37,40,35,34,39,35,57,46,49,47,43,34,17,6
41,荒井１丁目,8,6,13,6,10,10,8,10,14,10,11,7,8,13,11,6,10,6,4,6,3,5,4,4,7,7,9,4,12,7,5,9,7,11,8,11,16,12,11,9,11,6,18,21,16,14,17,19,16,12,7,6,11,2,12,6,6,6,10,10,5,3,4,7,4,5,4,5,10,5,2,3,3,3,5,4,1,5,3,1,0,2,5,2,2,0,0,6,2,2,2,1,0,0,0,0,0,2,0,0,0,43,52,50,32,23,39,40,59,72,78,38,38,23,29,16,14,11,10,5
42,荒井２丁目,4,5,8,6,2,5,6,5,5,2,4,4,4,6,4,7,6,3,8,9,2,5,11,11,11,7,5,10,14,8,6,8,9,8,5,7,6,3,10,6,6,8,7,10,17,7,10,11,9,14,10,16,11,8,10,8,7,6,6,5,5,6,0,4,5,2,7,3,4,4,4,5,8,8,3,4,3,3,4,5,8,1,3,6,2,3,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,25,23,22,33,40,44,36,32,48,51,55,32,20,20,28,19,20,5,4
43,荒井３丁目,12,8,5,7,6,7,5,10,4,4,9,12,8,10,6,6,7,6,8,5,6,8,8,6,7,11,7,7,8,7,12,11,11,8,8,9,8,9,10,18,7,12,14,17,11,18,11,12,16,14,16,9,11,3,7,5,1,4,9,4,10,5,7,5,3,4,4,4,3,5,2,3,3,4,3,5,1,3,2,3,5,4,4,5,4,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,38,30,45,32,35,40,50,54,61,71,46,23,30,20,15,14,22,11,1
44,荒井４丁目,8,9,14,13,7,10,9,24,9,11,7,14,9,11,14,7,11,9,7,11,2,11,12,7,8,11,13,8,8,12,14,13,17,15,11,12,15,14,14,12,14,13,17,18,9,12,18,18,15,16,12,14,15,11,7,16,12,9,7,7,11,10,6,5,10,6,7,6,3,5,8,8,5,9,0,1,5,5,5,5,5,5,2,5,5,3,0,2,2,3,1,0,1,1,0,0,1,0,0,0,0,51,63,55,45,40,52,70,67,71,79,59,51,42,27,30,21,22,10,4
45,荒井５丁目,8,4,5,3,1,2,0,3,7,2,3,3,1,2,0,3,5,0,4,1,3,4,5,3,6,5,8,11,11,8,10,8,10,5,7,10,13,4,6,5,4,7,11,4,6,10,8,5,9,5,5,7,4,3,7,4,2,6,1,5,4,1,4,1,2,0,2,1,2,4,2,3,1,1,1,1,1,1,1,2,6,1,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,14,9,13,21,43,40,38,32,37,26,18,12,9,8,6,10,4,0
46,荒井６丁目,7,6,2,1,3,0,1,1,1,0,1,2,0,0,0,0,1,2,3,0,2,1,2,6,3,4,7,4,4,7,4,8,8,4,3,7,4,4,4,6,1,5,3,4,4,11,3,6,4,7,5,5,2,0,1,1,2,5,3,3,1,3,1,2,0,0,2,1,0,1,2,1,5,0,1,1,0,2,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,3,3,6,14,26,27,25,17,31,13,14,7,4,9,5,2,2,1
47,荒井７丁目,19,20,24,21,18,22,14,11,12,16,10,12,7,11,9,9,10,4,10,7,8,8,4,1,12,5,10,13,18,17,14,18,26,15,24,21,22,25,16,24,26,16,26,23,29,21,14,18,21,16,15,10,13,13,11,11,8,6,8,5,9,6,10,3,9,9,5,11,11,6,8,11,7,7,5,10,5,4,6,7,5,10,2,7,1,1,2,2,1,4,1,1,0,0,0,0,0,1,0,0,0,102,75,49,40,33,63,97,108,120,90,62,38,37,42,38,32,25,10,3
48,荒井８丁目,1,0,2,0,1,3,2,2,1,2,3,3,3,2,4,1,4,1,3,2,4,3,4,5,5,3,0,2,2,2,2,5,2,1,3,5,1,3,2,3,2,0,4,6,1,3,7,2,5,2,5,3,3,2,4,3,1,1,3,1,0,1,0,3,1,1,2,2,1,1,2,3,1,2,2,2,2,1,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,11,21,9,13,14,13,19,17,9,5,7,10,6,5,1,0
49,荒井東１丁目,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,4,2,3,1,4,2,4,4,5,2,2,3,2,4,4,0,1,4,2,1,1,2,0,1,1,4,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,9,12,17,13,9,8,3,2,2,1,0,0,1,0,0
